FunctionID_f,AvgServiceTimeMilliseconds,Invocations30Days
3138,1633,127469051
10858,19,24022255
3679,242,12146838
1675,126,10831975
4142,110,5957202
2005,4269,3786764
4418,1,3499379
4659,208,3304161
608,1,2615062
1181,238,2037345
4312,107,1962624
5631,3,1222501
7371,15,1162270
1,13,1071496
7023,57,1029535
1879,12,1024413
2267,254,1001199
10228,446,986105
10649,135208,947017
2745,68,878825
6047,15,805077
401,1340,788803
6559,204,784732
6143,104,766443
2673,42,751382
6691,1,734084
435,151,727327
7257,7,690285
4932,53,688142
9544,1,666023
4539,174,619937
8662,3,610531
405,1013,588715
7119,453,562540
2329,122,557948
3959,107,515970
3528,3228,514421
7684,142,455079
5249,11,431730
8098,1,425753
4954,546,425124
3647,79,414973
7911,105,374334
7794,15,363228
6570,117,353695
4415,119,348947
2694,100,337961
9231,11,336816
3231,31,324802
1842,25,308929
5256,31,297695
7858,37,285542
9793,11,283978
7752,1,267106
4231,1,263864
9808,1,258021
5065,1,256190
1515,12,253216
7920,101,253215
4005,105,252290
7695,255,248469
4417,256,244626
134,248,234559
10714,166,228014
2,1,223821
8820,2,222943
8373,326,222277
8867,16,218813
9622,4516,217056
8859,1,214787
1566,102,210709
5289,1435,202570
8714,10,200006
9610,136,196177
8273,14,183333
7312,562,181951
6610,836,181457
5565,115,180920
9300,16,173315
5484,1332,172161
9371,1032,167697
10028,10,155978
2278,107,154626
638,26,154573
2948,21,148018
3633,103,145719
6532,217,144989
10474,1933,143976
4043,1,142815
1176,20,142234
5349,298,140720
217,1,138946
2498,3,133303
10456,106,130580
2041,1,130542
2505,22,129648
8952,271,127786
382,55,124196
10364,3714,123300
7170,1046,120656
2902,26,113301
4315,1510,112818
7337,114,110992
6726,30,110710
9624,9316,110574
1293,14,109087
9123,18,106483
4306,11,106428
6844,30814,105912
10020,1961,105619
4533,11,104512
4895,151,99331
471,40,98339
6797,146,95794
4934,10,95406
10137,21,91778
2515,125,91398
8425,4,90213
6383,2,89107
1788,165,88707
10258,67,86643
141,28,86403
1273,11,86398
3171,1,86388
4059,82,86387
10634,178,86386
6576,111,86253
4696,1,86121
10535,49,86073
3258,1,86071
8215,918,85700
10740,7783,85658
8268,143428,85365
5132,1,84856
9946,36,84558
7364,111,84401
9964,28,83863
4462,118,83062
3521,1130,82910
9721,3845,82759
4579,1018,81521
5043,5003,78234
1216,11,75946
6885,19,75907
2925,1060,74874
659,11,73824
1714,11,71941
1404,44,70969
5312,117,70415
3045,130,69182
6736,10,68684
130,26,67354
2740,12,67274
8990,1,67166
1997,101,67092
4104,1,66551
7900,1,65823
5755,106,64563
5089,23,64377
2319,6,64275
1708,42,63316
2894,10,63113
9950,1,61520
9359,1,61032
4598,1222,60654
3726,59,60274
438,41,58109
1253,81,56477
1524,234,55883
4873,1026,54552
7418,105,54076
1862,405,53400
8512,1178,50890
1336,123,50753
7063,13,50358
2275,105,49251
7650,121,49203
3296,24,48467
3257,13,47366
8146,245,47206
385,198,46958
9387,112,46371
10254,30,46148
2304,1409,45834
195,20,44645
4106,9,44180
4518,1,43169
70,1,42842
7591,7,42207
2296,1274,41681
7446,54,41396
6415,9,40631
298,30,40236
10169,1155,39212
9495,22,38606
1155,1887,38427
3402,1297,38253
2804,11,37815
8074,1051,36465
3784,137,36386
879,146,36378
461,1,35821
1982,396,35745
10367,73,35454
9983,260,35405
4323,1658,34847
3306,30,34651
5226,16,34626
9690,141,34488
9589,1,34466
3108,10,34457
7776,1,34450
6896,25,34314
10581,1149,34267
3436,84,33999
4666,134,33945
3939,30,33694
5723,647,33457
10726,102,32497
1366,15,32388
504,1266,32163
2398,124,31889
7489,1,31050
5240,1,31030
104,49,31020
9595,18,29559
9078,146,29366
2646,28,28801
5239,97,28724
2670,70,28716
3203,228,27968
9161,111,27697
5743,203,27204
7209,1082,27201
2057,54,26943
3297,73,26902
8066,47,26869
2256,3257,26367
6481,47,26344
5435,119,26232
7754,10,26161
7097,15,25908
1011,28,25866
10757,159,25184
3137,241,23975
6010,34,23971
6425,1165,23876
939,48,23791
5168,58,23700
3793,1,23666
2823,102,23522
4249,1062,23386
10155,28,23214
5728,195,23016
9431,1297,22667
900,100,22604
5610,452,22323
10418,1095,22152
10163,34,22113
5757,14197,22107
7068,152,21664
9826,45,21600
4606,223,21555
6613,5109,21355
6302,56,21322
5782,169,21314
5242,2,21280
2142,11,20976
678,11,20957
6376,1456,20868
2537,1028,20795
6904,106,20146
1535,69,20011
7422,1057,20011
2424,1520,19626
100,155,19555
6585,28,19174
7343,144,18922
6794,11277,18817
5100,116,18753
8250,1563,18753
8447,1035,18394
8748,73,18140
10288,10,18081
7792,11,18070
8678,14,17905
8409,143,17830
8238,469,17552
5666,64,17407
10395,201,17379
10332,84,17322
5795,40,17306
7464,1,17305
2800,1,17294
4447,1040,17282
3456,16,17281
4915,1179,17281
3625,1,17280
5171,17,17280
5882,20,17280
6686,1179,17280
6850,63,17280
7419,52,17280
4173,1,17279
2175,458,17278
3439,1,17277
5397,516,17276
7898,1,17276
